id,email,password
1,schueler1@codeclass.de,itcamp2025
2,schueler2@codeclass.de,itcamp2025
3,schueler3@codeclass.de,itcamp2025
4,schueler4@codeclass.de,itcamp2025
5,schueler5@codeclass.de,itcamp2025
6,schueler6@codeclass.de,itcamp2025
7,schueler7@codeclass.de,itcamp2025
8,schueler8@codeclass.de,itcamp2025
9,schueler9@codeclass.de,itcamp2025
10,schueler10@codeclass.de,itcamp2025
11,schueler11@codeclass.de,itcamp2025
12,schueler12@codeclass.de,itcamp2025
13,schueler13@codeclass.de,itcamp2025
14,schueler14@codeclass.de,itcamp2025
15,schueler15@codeclass.de,itcamp2025
16,schueler16@codeclass.de,itcamp2025
17,schueler17@codeclass.de,itcamp2025
18,schueler18@codeclass.de,itcamp2025
19,schueler19@codeclass.de,itcamp2025
20,schueler20@codeclass.de,itcamp2025
